content,title,region,desc,category
"French unions have called two more national days of action to protest at the government's pension reforms.They announced the dates of 28 October and 6 November after a meeting in Paris.Separately, rolling strikes are continuing against government plans to raise the pension age from 60 to 62.President Nicolas Sarkozy has tabled a motion to cut short debate in the Senate, forcing an emergency vote within 24 hours.Opposition senators had prolonged the debate by putting forward more than 1,000 amendments.Riot police in body armour are in position outside the French Senate, reports the BBC's Phil Mackie in Paris.The lower house has already approved the bill, which aims to raise the retirement age from 60 to 62 and the full state pension age from 65 to 67.Protests have taken place around the country. In the south-eastern city of Lyon, police used water cannon to disperse protesters.A demonstration outside the Senate in Paris was largely peaceful. ""I am 44 and I don't want to work until I am 62 or 67,"" teacher Odile Jaquet told the Associated Press news agency. ""I am still young: I still have to work for another 18 years, and in my industry, I don't think that I will be able to work much longer.""Students marched in cities around the country including Paris, Marseille, Toulouse and Bordeaux.In Marseille, tonnes of rubbish have piled up in the streets since collectors went on strike on 12 October. The top central government official in the region, Michel Sappin, has asked 150 members of the civil security force and the French Foreign Legion to clear the rubbish. Blockades of refineries and fuel depots have led to fuel shortages. Ecology Minister Jean-Louis Borloo said 2,790 filling stations had run out of fuel, down from 3,190 on Wednesday.However, about three quarters of high-speed TGV trains are now running, as are about half of all regional trains.President Sarkozy called for an end to the disruption and promised to punish rioters.""By taking hostage the economy, companies and the daily lives of French people, we are going to destroy jobs,"" he said on Thursday. Lionel Guerin, head of the National Federation of Commercial Aviation, said the strikes had now cost airlines more than the Icelandic volcano eruption in the spring.Singer Lady Gaga said on her website that she had cancelled two concerts scheduled for Paris this weekend because was ""no certainty that the trucks can make it"" to the venue. All 12 French refineries remain on strike, although police have broken blockades at most of the country's fuel depots. Strikes also stopped work at two of France's three liquefied natural gas (LNG) terminals.On Wednesday, the country began importing electricity as the wave of protest action took hold of energy supplies.At least 12 of France's 58 nuclear reactors were shut for maintenance, but the unions say production has been cut at four others.",French workers to hold two more national days of action,Europe,French unions call two more days of action - on 28 October and 6 November - to protest at the government's pension reforms.,BBC News
"Glasgow City Council has given more work to a controversial private taxi firm, despite being in the process of trying to ban it. BBC Scotland has learned that Network Private Hire has successfully increased its share of a contract ferrying vulnerable children to and from school. In April, the council denied Network an operators licence after police argued it had links to crime.The company is appealing the decision and is entitled to continue trading.Glasgow Council has streamlined the amount of school runs it funds from 2000 to 1400, and invited taxi firms to bid for the work. Glasgow Taxis, the main hackney operator who had the majority of the contract until now, is the biggest loser, being outbid on about 60% of its original share.'Increased share'Network and several other taxi firms including Southside cars will pick up a significant amount of the work.Network was already on the council's list of preferred suppliers before the licensing committee's decision to deny its operators licence. But the decision to award extra work to the company took place recently.A spokesman for Glasgow City Council confirmed that Network had increased its share, from 50 to 136 runs per day. The spokesman said: ""Network Private Hire has a contract to provide taxis for council business which predates the recent decision of the Licensing Committee to refuse a licence for their booking office.""This decision is now subject to appeal and therefore Network Private Hire is legally entitled to continue trading while that appeal is pending.""Network's radio office licence was denied at a council licensing committee hearing in April after Strathclyde police argued that a former employee and shareholder who is a convicted criminal was still benefitting from the company.Ch Insp Stuart Neil told the hearing that James Baxter - who has a series of spent criminal convictions, including a serious assault for which he served a prison term - had also been accused of intimidating witnesses and of being involved in a shooting incident, although he was not convicted. Network's legal team admitted that Mr Baxter was still being paid money for shares he had sold to the company. The committee decided Mr Baxter was benefitting from the company and its licence was denied.An appeal is due to be heard in November and Network is entitled to trade in the meantime. ",Council awards more work to controversial taxi firm,Glasgow & West Scotland,"Glasgow City Council gives more work to a controversial private taxi firm, despite being in the process of trying to ban it.",BBC News
"Two High Court judges hearing a challenge to ex-minister Phil Woolas's re-election as an MP have reserved their judgement until October.Legal arguments were heard on the final day of the specially convened election court in Oldham on Thursday.Mr Woolas won his Oldham East and Saddleworth seat by just 103 votes in May's general election.Defeated Lib Dem rival Elwyn Watkins says the vote was swayed by false claims in Labour leaflets.His counsel has accused former immigration minister Mr Woolas of stirring up racial tension by running a ""risky"" campaign designed to ""galvanise the white Sun vote"" against Mr Watkins, because he was convinced he was going to lose his seat.Mr Watkins has accused his opponent of implying that he was in league with extremist Muslims who wanted to kill the former minister.Mr Woolas has defended the leaflets, saying it was legitimate to ask questions about how his opponent funded his campaign, the political company he kept and where he lived.He has argued that he was targeted by extremists, including receiving death threats, because of the nature of the constituency and his national profile as minister responsible for immigration issues and accused Mr Watkins of not condemning them. The case has been brought under Section 106 of the Representation of the People Act which makes it an offence to publish ""any false statement of fact in relation to the candidate's personal character or conduct"" to prevent them being elected - unless they believed it was true and had ""reasonable grounds"" to do so.It is the first case of its kind in 99 years. Legally, the onus is on Mr Watkins to prove his case if he is to win. If found guilty, Mr Woolas could be fined and barred from public office, with a fresh election triggered.Mr Justice Griffith Williams and Mr Justice Nigel Teare have been hearing the case at Saddleworth Civic Hall in Uppermill, Oldham, which has been turned into an election court. A judgement is not expected until October.",Court reserves judgement over Phil Woolas re-election,UK Politics,An election court hearing a challenge to former immigration minister Phil Woolas's re-election as an MP will give its ruling in October.,BBC News
"A planned £42m bendy bus scheme for Bristol could be replaced by a cheaper tram scheme.The bus plan was originally announced in 2009 and would have linked Long Ashton park-and-ride with Temple Meads.Bristol City Council has met with tram consultants Sustraco who claim switching to trams could save the authority money.The council will now meet with a government minister to discuss whether either scheme is viable.'Be sensitive'Councillor Gary Hopkins, the council's transport spokesman, said the authority was aware that funding was a big issue.""We are aware the government are reviewing the costings on these schemes and the different viabilities,"" he said.""As some of the money will come from government then we have to be sensitive to their views.""If government decides we'd much rather support a different type of technology then what we're saying to them is we're happy with what we've bid for but if you feel there's a different way forward we'll listen.""Bristol had planned a city-wide £200m tram scheme nine years ago but it was scrapped in 2004 because of escalating costs.",Bristol tram plan may replace bendy buses,Bristol,A planned £42m bendy bus scheme in Bristol could be replaced by a cheaper tram system.,BBC News
"The Netherlands has ended its military mission in Afghanistan, after four years in which its 1,950 troops have won praise for their effectiveness. Dutch military chief Gen Peter van Uhm said security had improved in Uruzgan province during the Dutch deployment.But he acknowledged that ""a lot still has to happen"" after the withdrawal.Nato has played down its significance, but analysts say this is a sensitive time for the alliance, with growing casualties and doubts about strategy.Dutch command was formally handed over to the US and Australia in a small ceremony on Sunday at the main military base in Uruzgan - where most Dutch soldiers have been deployed.The Dutch ministry of defence told the BBC that while its military mission in Afghanistan had ended, a redeployment task force would stay on to oversee the return of vehicles, military hardware and equipment to the Netherlands. Four F16 jets, three Chinooks and five Apaches from the Dutch air force were expected to remain in Afghanistan until the end of the year.""Dutch forces have served with distinction in Uruzgan, and we honour their sacrifice and that of their Afghan counterparts during the Netherlands' tenure in the province,"" said a statement from the Nato-led International Security Assistance Force (Isaf).Nato had wanted the Netherlands to extend its mission, but the request triggered a political row which brought down the country's coalition government in February.This sent shock waves through other European countries, particularly Germany, where public opposition to the war is growing.More than 145,000 foreign troops currently operate under US and Nato command in Afghanistan and are supporting its Western-backed government against a Taliban-led insurgency that has gained strength.Having supplied just a small percentage of Nato forces, the Dutch pull-out will not make a significant military difference, says the BBC's David Loyn in Kabul, but it will have a symbolic impact far beyond the troop numbers themselves.  Analysts say the Dutch contingent has pioneered techniques which have since been held up as a model for other foreign forces in Afghanistan. These include the ""3D"" policy - defence, diplomacy and development - which involved fighting the Taliban while at the same time building close contacts with local tribal elders and setting up development programmes.""We offer the majority of the population relatively safe living conditions and advancements in health care, education and trade,"" Gen Van Uhm told a news conference on Wednesday. ""We have achieved tangible results of which the Netherlands can be proud.""Uruzgan is a poor mountainous region north of Helmand and Kandahar, and the Dutch lost far fewer troops than the UK, US and Canada, the main forces further south.  Gen Van Uhm said 24 Dutch troops died during the four-year mission and 140 were wounded. His 23-year-old son was killed by a roadside bomb in April 2008.A Taliban spokesman told the Volkskrant newspaper that the group wanted to ""wholeheartedly congratulate the citizens and government of the Netherlands"" for pulling out its troops and urged others to follow suit.Officials in Brussels insist the rest of the military alliance remains solid and note that the decision of the Dutch to go ahead with the withdrawal did not produce a chain reaction of other announcements about pull-outs.But Canada is still expected to withdraw its forces next year, Poland in 2012, and the UK in 2014 or 2015. With increasing focus on the process - if not the exact timetable - for handing over security to the Afghans, analysts say there is a growing sense that commitments are finite, analysts say.",Dutch troops end Afghanistan deployment,South Asia,"The Netherlands ends its Afghan military mission after a domestic split, amid concerns over the US-led alliance's long-term strategy and exit.",BBC News
"A man has appeared in court charged with murdering his fiancee in Belfast. Paul Stockman, 53, lived in Elm Court in the south of the city, with his partner of five years Patricia Bardon, whose body was discovered on Monday. A detective told Belfast Magistrates Court he believed he could connect the accused to the charge. It is understood the couple were to have been married on the day Ms Bardon's body was found, which was also her 51st birthday.The detective said both the defendant and the murder victim had alcohol problems and that they had been in a relationship for five years. A defence lawyer told the court there would be no bail application on Friday because the address where the defendant lived was not suitable as it was still a crime scene.",Man accused of murdering fiancee in south Belfast,Northern Ireland,"A man appears in court charged with murdering Patricia Bardon, his partner of five years, in south Belfast.",BBC News
"Sweden has cancelled an arrest warrant for Wikileaks founder Julian Assange on accusations of rape and molestation.The Swedish Prosecution Authority website said the chief prosecutor had come to the decision that Mr Assange was not suspected of rape but did not give any further explanation.The warrant was issued late on Friday.Wikileaks, which has been criticised for leaking Afghan war documents, had quoted Mr Assange as saying the claims were ""without basis"".That message, which appeared on Twitter and was attributed directly to Mr Assange, said the appearance of the allegations ""at this moment is deeply disturbing"".In a series of other messages posted on the Wikileaks Twitter feed, the whistle-blowing website said: ""No-one here has been contacted by Swedish police"", and that it had been warned to expect ""dirty tricks"".In its ""official blog"" on Saturday before the warrant was cancelled, Wikileaks said it was ""deeply concerned about the seriousness of these allegations. We the people behind Wikileaks think highly of Julian and and he has our full support"".The current whereabouts of Mr Assange, a 39-year-old Australian, are unclear.The Swedish Prosecution Authority website said chief prosecutor Eva Finne had come to the decision that Julian Assange was not subject to arrest.In a brief statement Eva Finne said: ""I don't think there is reason to suspect that he has committed rape."" The website said there would be no further immediate comment.Earlier, Karin Rosander, communications head at Sweden's prosecutors' office, said there were two separate allegations against Mr Assange, one of rape and the other of molestation. She gave no details of the accusations. She said that as far as she knew they related to alleged incidents that took place in Sweden.On Saturday she said the police investigation into the molestation allegation continued.Ms Rosander said: ""The [chief prosecutor] will look into that later. She hasn't been able to do that, but that's not enough for being arrested. It's not a serious enough crime.""Media reports say Mr Assange was in Sweden last week to talk about his work and defend the decision by Wikileaks to publish the Afghan war logs.Last month, Wikileaks published more than 75,000 secret US military documents on the war in Afghanistan. US authorities criticised the leak, saying it could put the lives of coalition soldiers and Afghans, especially informers, at risk.Mr Assange has said that Wikileaks is intending to release a further 15,000 documents in the coming weeks.",Swedish rape warrant for Wikileaks' Assange cancelled,Europe,An arrest warrant for Wikileaks founder Julian Assange on rape accusations is abruptly cancelled by Swedish authorities just hours after it was issued.,BBC News
"The boat building part of an historic Norfolk firm is to close with the loss of 70 jobs.The owners of CJ Broom and Son, of Brundall, said the firm has gone insolvent after losing more than £1m due to a downturn in boat sales.Just a few employees are staying on to finish off current orders.The other part of the company, Broom Boats, which employs 50 people and repairs boats will continue to operate as normal.Mark Garner, Broom chairman, said: ""New Broom boat sales currently are weak.""After several years of major boat-building losses amounting to more than a million pounds, we have had to call a halt to boat-building for the time being.""We hope to be able to resume this part of the business in due course.""Mr Garner stressed all other parts of the Broom organisation - the marina, brokerage, repairs, refurbishment and waterside diesel -  were unaffected.Broom Boats was established in 1898 by Charles J Broom who was the grandfather of the present managing director, Martin Broom.",Boat building firm in Norfolk cuts 70 jobs,Norfolk,The boat building part of an historic Norfolk firm is to close with the loss of 70 jobs.,BBC News
"A satellite tracking scheme designed to monitor the movements of violent offenders with mental health problems is being expanded, following a successful pilot.The system is intended to prevent psychiatric patients absconding or offending while on leave from a secure hospital in south-east London. Patients wear a device around an ankle when they attend court and when they are allowed out of hospital on authorised visits, some of which are unaccompanied.Doctors at the Bethlem Royal Hospital in Beckenham say the number of times patients have breached their leave conditions has fallen substantially since the devices were introduced.The satellite tracking system was introduced after Terrence O'Keefe, a mental health patient, went on the run and strangled a man with his belt in March 2008.O'Keefe had been held at a secure unit at Lambeth Hospital and escaped while being treated at King's College Hospital in south London. In June 2009 O'Keefe was found guilty of murdering David Kemp at Great Yarmouth in Norfolk.  The satellite tracking devices have been used by 35 patients at River House, a medium-security psychiatric unit at Bethlem. The unit treats people with severe mental illness and personality disorders, among them convicted killers and sex offenders. Professor Tom Fahy, clinical director of forensic services at the South London and Maudsley NHS Foundation Trust, said the device added an extra layer of safety when patients were allowed out on ""leave"" to prepare them for life in the community.""The main advantage is that it gives us confidence, about the patient's whereabouts, that they're complying with their leave conditions,"" said Prof Fahy, a consultant psychiatrist.""We can... enhance the trusting relationship between the clinical services and the patient.""The device uses three types of technology to pinpoint a patient's location - GPS (global positioning system), GSM (global system for mobile communication) and RF (radio frequency).It sends signals to a control room which alerts the hospital when a patient goes to an area they're excluded from, or is away for too long.  An accelerometer measures whether the tracking device, and therefore the patient, is moving and at what speed.The device vibrates to remind a patient when they're nearing the end of their allotted time away from hospital.""The information is sent from the tracker up to a monitoring station and they can see the information on a map,"" said Sara Murray, who founded Buddi - the company behind the tracking device - after her daughter disappeared from sight at a supermarket.""They can actually live-track somebody, so if somebody is missing they can immediately see where they are and follow them.""One of the patients who used the device while at River House told BBC News that it had helped to keep him ""more safe"".""If I was to have an accident of any kind it would be easier to pick me up,"" said the man, who wanted to be known as Edward to safeguard his anonymity.But Edward, who now lives in a hostel after 13 years in secure hospitals following a conviction for arson, said the tracker was uncomfortable when worn for long periods.""Sometimes it makes you feel a bit childish... almost labelled,"" he said.But Professor Fahy says the satellite tracking system has been successful in cutting the number of times patients have breached their leave conditions.Doctors also hope the system will cut the costs of searching for patients who have absconded . Each device, including straps, costs £374, plus £50 per month per device for monitoring. The unit now has 60 devices and plans to use it on more patients over the coming months. ",Satellites used to track mentally-ill violent criminals,UK,"A satellite tracking scheme designed to monitor the movements of violent offenders with mental health problems is being expanded, following a successful pilot.",BBC News
"The Red Knights group of wealthy supporters mulling a takeover of Manchester United has put plans to make a bid for the club on hold.The group said media speculation of ""inflated valuation aspirations"" had hampered its plans.It added that it had always maintained it would only pay a sensible price for Manchester United.Last week, United reiterated it was not for sale and that the Glazer family owners would not listen to offers.The Glazer family bought Manchester United for £800m in 2005.However, critics say the family has saddled the club with massive debts. In the last annual accounts, to July 2009, debts at the club's parent company Red Football Joint Venture increased to £716.5m. The Red Knights group - which includes the former Football League chairman Keith Harris and Goldman Sachs chief economist Jim O'Neill - had said that one of its priorities was to reduce debt levels.The group had been expected to make a bid of about £1bn for United, however reports have suggested that the Glazer family put a much higher value on the club.Last week, Manchester United said the club was not for sale and that the Glazer family owners would ""not entertain any offers"", adding that the Glazers remained ""fully committed to their long-term ownership of the club"".In a statement, the Red Knights said that it remained committed to pursuing its efforts ""to try and help bring ownership of Manchester United to its supporters, and under a structure with materially less debt"".""As we have maintained however since news of our ambitions first emerged in March, we will only attempt to purchase the club at a sensible price, consistent with the long term interests of the club,"" the group added.""Persistent speculation in the media of inflated valuation aspirations has made our goals less attainable, as potential investors have strongly reinforced our views that we should not move forward at a price uneconomic for the future of the club.""Manchester United fans have launched a campaign to oust the Glazers, with many boycotting the traditional red shirts and scarves and instead wearing green and gold, the original colours of Newton Heath, the amateur side which was founded in 1878 and became Manchester United.There has also been talk of supporters not renewing season tickets, in an attempt to hit revenue streams at the club.The Manchester United Supporters Trust, which has backed the Red Knights' campaign, said last month that it had not called for a boycott.However, it added it was ""encouraging supporters to delay renewal of season tickets and executive facilities until at least the first deadline and ideally until a Red Knight bid comes forward"".""If the Glazers reject a bid or indeed are still here next season we will review that position accordingly,"" it added.The trust also said it believed the Red Knights had not totally walked away, but were waiting for the price of Manchester United to fall.""We understand the intention of the statement from the Red Knights is to remove the time deadline pressure and set more realistic expectations with regard to a bid,"" the trust said.In its statement, the Red Knights group said: ""We understand that many supporters were hoping that we might be in a position to make a bid before the season ticket renewal deadline.""We have never taken a stance on season ticket renewals, it is a personal choice for all supporters."" ",Man Utd: Red Knights takeover attempt shelved,Business,The Red Knights group of wealthy supporters mulling a takeover of Manchester United shelves plans to make a bid for the club.,BBC News
"The last of 250 British and Australian World War I troops recovered from mass graves has been reburied with full military honours in northern France. Prince Charles and the relatives of identified soldiers attended a commemorative ceremony at the new Fromelles Military Cemetery.It comes 94 years after the soldiers were killed in the Battle of Fromelles. Work to excavate and identify the soldiers began two years ago, after the bodies were discovered. Of the bodies recovered, 205 have now been identified as belonging to Australian soldiers, three served with the British army and 42 are still classified as unknown. The remains of the first soldier were reburied in January.Opening the ceremony to mark the anniversary of the battle, the Duke of Kent, president of the Commonwealth War Graves Commission, said the soldiers were ""lost no longer... here, at last, in peace"".Relatives of those killed during the battle paid tribute to their family members, reading moving extracts from diaries and letters home. The last letter from Thomas Sidney Wharfs, to his wife, dated 18 July 1916, said: ""My darling wife I am writing this to be sent to you in case anything happens and I am killed tonight. I have just been ordered to attack tomorrow and I'm taking my company over, in the front line.  ""I am absolutely confident of my men and we'll get through, all correctly but we're certain to have casualties. Cheer up and take care of Dick.  You will need all your strength to bring him up and look after him.  God bless you my darling wife and boy.  I love you with all my heart.""Another Australian relative said: ""My grandfather, Private Frank Flowers, was killed on this day 94 years ago, leaving his wife and three small children. I would like to read a few lines from his last letter to home. ""It may be of help to you to know that every day of my life I pray to God to protect and help you and our children. I pray to him for your sake and for the kiddies' sake that I may be sent back to you, not for my own sake... as I know the heart would go out of your life were I to go under.'""The relative added: ""Thank you, Grandad, for the lives we have been able to live.""During the ceremony, a general service wagon, which had been restored after its use during WWI, carried the last coffin on its poignant journey. Behind it, Prince Charles processed with members of the King's Troop Royal Horse Artillery.Following the Last Post and a one-minute silence, the Prince of Wales and the Governor-General of Australia, Quentin Bryce, laid the first wreaths.Dedicating the ceremony, the prince said: ""In laying this last hero to rest, we honour them all.""He continued: ""I am profoundly humbled by the outstanding bravery of these men who fought so valiantly in the indescribable mud and carnage, many thousands of miles from their families and from their homes.""After the reburial of the last unknown soldier, the Prince of Wales, accompanied by the Duchess of Cornwall, attended a reception for relatives.The BBC's Robert Hall said the reburials had ""united families from opposite sides of the world"". He said the Battle of Fromelles - a diversionary tactic in the wider Battle of the Somme - was a ""terrible and bloody encounter"".About 1,700 British servicemen and more than 5,500 Australian soldiers lost their lives in the two-day battle. In the aftermath of the battle, the dead Allied soldiers were buried by their German counterparts. The mass graves were only discovered in 2008. As part of the identification process, overseen by the Commonwealth War Graves Commission, experts took DNA samples from the bodies to try to find a family link with the help of the soldiers' relatives. Earlier, the Duke of Kent unveiled a Eurostar train called Remembering Fromelles at St Pancras station, London.   ",Prince Charles attends last Fromelles soldier reburial,UK,The last of 250 British and Australian WWI troops recovered from mass graves has been reburied in France.,BBC News
"A former managing director of the Irish Republic's Industrial Development Authority (IDA) has been appointed interim chairman of NI Water.Padraic White replaces Chris Mellor who was sacked by Regional Development Minister Conor Murphy in March.Mr Mellor and three other board members were dismissed following a damning independent investigation into procurement practices.However, some MLAs have since raised questions about that investigation.Mr White was the first chairman of the Railway Procurement Agency (RPA), the agency responsible for developing Ireland's first light rail system, the Luas, in Dublin.He has chaired the boards of a wide range of private, public and community bodies including the West Belfast and Shankill Economic Task Force.His wife Mary White was elected as a Fianna Fail member of the Senate in the Irish Parliament in July 2002 and re-elected in July 2007.The £40,000 a year appointment will be for an initial period of up to nine months, until a permanent appointment process is conducted.In June the minister appointed four new interim non-executive directors.All these appointments have been carried out through an emergency process, meaning they do not have to abide by the code of practice for public appointments, although the Commissioner for Public Appointments has been consulted.The minister said: ""I welcome the appointment of Padraic White who will bring his wealth of skills and experience to bear in providing a steadying influence on the Board of NIW following what has been a difficult time for the organisation.",Padraic White appointed interim chairman of NI Water,Northern Ireland,A former managing director of the Irish Republic's Industrial Development Authority (IDA) has been appointed interim chairman of NI Water.,BBC News
"Cambridgeshire police have been trying out a portable device to help women urinate standing up.The plastic funnel can be used without the need to remove any items of clothing. The trial was to determine whether the £7.50 Shewee would be useful for the force's 380 female officers if they went out on patrol.But results showed there was ""not a great need"" for the gadget, the police force said.In a Freedom of Information response however, the force said the introduction of the plastic funnels was ""still under consideration"".Shewee inventor Samantha Fountain, 33, failed to secure investment when she presented her design on the 2005 series of BBC's Dragons' Den.The device, which comes in five colours, has since gained widespread popularity among festival-goers, pregnant women and hikers.",Cambridgeshire police try out urination gadget,Cambridgeshire,Officers on the Cambridgeshire force try out a gadget which allows women to urinate while standing up.,BBC News
"Prime Minister David Cameron has said there should be no sympathy for ""callous murderer"" Raoul Moat.Mr Cameron was speaking after flowers were left at the scene of Moat's death in Northumberland and messages of sympathy to him were left on Facebook.Pc David Rathband, shot by Moat as he sat in a patrol car, has said he was now blind as a result of the attack.But he told The Sun newspaper he would not let the incident ruin his life.Moat shot Samantha Stobbart, 22, and killed her boyfriend Chris Brown. The gunman went on the run and apparently shot himself in Rothbury on Saturday.Speaking during Prime Minister's Question Time, Mr Cameron said: ""It is absolutely clear that Raoul Moat was a callous murderer, full stop, end of story.""I cannot understand any wave, however small, of public sympathy for this man.""There should be sympathy for his victims and the havoc he wreaked in that community.""There should be no sympathy for him.""Conservative MP Chris Heaton-Harris asked him to contact Facebook requesting the RIP Raoul Moat group page, which has attracted more than 30,000 members, be taken down.He described it as carrying a ""whole host of anti-police statements"".Mr Cameron said he was making a ""very good point"".But a spokeswoman for Facebook said the page would not be removed on the grounds the site encourages public debate about issues in the media.She added: ""Facebook is a place where people can express their views and discuss things in an open way as they can and do in many other places, and as such we sometimes find people discussing topics others may find distasteful, however that is not a reason in itself to stop a debate from happening.  ""The site has measures in place which allow people to report any material they find offensive and each complaint would be investigated on an individual basis.""As well as tributes posted online, flowers and cards have been left outside Moat's home in Fenham, Newcastle, and at the scene of his death in Rothbury.Meanwhile, Mr Rathband told The Sun newspaper about the moment Moat approached his patrol car, wielding a gun.""He looked at me and I looked at him and he lifted the gun and discharged the weapon through my window.""It was a noise I had never heard before but it was a noise that was so painful. My first assumption was it was the noise that was ripping my face off.""Mr Rathband said after a second shot was fired to his shoulder, emergency crews arrived at the scene.He added: ""I asked a paramedic to tell my wife that I loved her and to tell my children that I loved them.""I knew I was going to die.""Northumbria Police have said they would not comment on the story in the newspaper but that Mr Rathband was interviewed as a victim of a crime, not as a police officer. On Wednesday, police arrested three men on suspicion of assisting an offender. A total of 13 people have now been arrested in connection with the Moat inquiry.Four men and a woman held on suspicion of assisting an offender are currently on police bail.Two other men have been charged with conspiracy to commit murder and possessing a firearm with intent.The hunt for Moat began on 3 July after he was suspected of shooting Ms Stobbart and Mr Brown in Birtley, near Gateshead.Pc Rathband was shot the following day in East Denton as he sat in his patrol car.After a week on the run, Moat was discovered armed with a shotgun on the banks of the River Coquet at about 1900 BST on Friday. Armed police cornered him and negotiators were brought in to speak to him.",Raoul Moat: Prime minister criticises public sympathy,England,Prime Minister David Cameron tells the House of Commons there should be no sympathy for gunman Raoul Moat.,BBC News
"A group that lobbies against conceptual art has claimed 15 works by the artist Damien Hirst were inspired by others.The alleged cases are detailed in an article in art magazine The Jackdaw.Charles Thomson, co-founder of the Stuckists art movement, alleges that several Hirst works - among them his medicine cabinets and spin paintings - were based on existing pieces.Hirst's press officer called the piece ""poor journalism"" and said the artist would issue a ""comprehensive"" rebuttal.In an article entitled The Art Damien Hirst Stole, Thomson presents 15 examples of Hirst works beside images of the works he claims they are inspired by.They include his 2005 piece In Nomine Patris, an eviscerated sheep in formaldehyde positioned in a crucifixion pose.Thomson alleges that Hirst got the idea for the piece from This Is My Body, This Is My Blood, a 1986 work by artist John LeKay which also featured a so-called crucified sheep.Other pieces cited include his installation Pharmacy, a cabinet with bottles on shelves Thomson says was based on a 1943 work by Joseph Cornell.Hirst is well known for his headline-grabbing conceptual artworks, which include sharks suspended in formaldehyde and a skull encrusted in diamonds.Last year the 45-year-old announced he had stopped making installations in favour of traditional paintings by hand.Unproven allegations of plagiarism have dogged Hirst since he made his name as one of the ""YBAs"" - Young British Artists - who came to prominence in the 1990s.Of the 15 allegations made in The Jackdaw, eight are said to be new.",Damien Hirst art works 'inspired by others',Entertainment & Arts,A group that campaigns against conceptual art claims 15 works by the artist Damien Hirst were inspired by other artists.,BBC News
"A 54-year-old man has collapsed and died when mountain biking along a popular forest track in Snowdonia.It happened on Saturday evening on the Marin Trail near Betws-y-Coed when the man, from Flintshire, was cycling with a brother and friend. An ambulance could get only within a quarter of a mile so an Ogwen mountain rescue team went to help.Attempts to revive the cyclist, who had suffered chest pains, were made but without success. Rescue team members carried him on a stretcher to an ambulance. ",Mountain biker dies after collapse on Conwy trail,Wales,A mountain biker dies after collapsing on a forest trail in Snowdonia.,BBC News
"A Cumbrian primary school is testing an educational toy designed to encourage children to talk about guns.The Guns Thumball is a soft ball with names of 32 types of gun, from a Mac-10 to a water pistol, printed on it.The firm behind it said it was ""even more important"" for children to discuss guns in light of Derrick Bird fatally shooting 12 people in the county.Bassenthwaite Primary's head said it enabled pupils to talk about guns' role in society in a ""safe and fun way"".Children at the school in Bassenthwaite, Cumbria, are among those in a pilot group trying out the ball before it goes on sale.Promote discussionThe toy is thrown around a classroom, with the person who catches it lifting their thumb and reading from the panel underneath. It is then used to promote discussion in the classroom about how guns are used in different scenarios.Head teacher Sara Royle said: ""The new Guns Thumball gives us the opportunity to positively encourage the students to talk about the role that guns have in society in a safe and fun way.""Ch Supt Geoff Feavyour of Leicestershire Police, a strategic firearms commander, backed the ball but recognised it might be controversial.""I can understand the sensitivity, but we are fooling ourselves if we think our kids don't arrive at school without exposure to guns, gun issues, and in some cases gun culture,"" he said.He admitted some may see guns as a taboo subject, but said children were often exposed to ""unrealistic, positive and even glamorous"" views of the weapons.""I can understand that parents, even teachers, may be concerned that guns should be a taboo subject in an educational environment, and I can't help but think this is very similar to some attitudes to sex education,"" he added.""Talking about things in a controlled educational environment rarely makes things worse, and if we can improve awareness, there is the very real possibility that lives can be altered,"" he said.Rosie Fey of Keswick-based Happy Secrets, the firm that developed the ball, said the toy was inspired by the visit of a firearms sergeant to the shop while he was on holiday in Cumbria.""We want to make children thoughtful around the word 'gun', and to de-glamorise it,"" she said while describing the design process behind it.Mike Burgess, executive director of the company, said the Cumbria massacre had ""raised awareness of guns, even for young children"" and that ""it has made it even more important that it is used as a topic of discussion.""Taxi driver Derrick Bird sparked a massive police manhunt when he went on the rampage in west Cumbria in June, shooting dead 12 people and injuring 11 others. ",Cumbrian school among those piloting new gun toy,England,A Cumbrian primary school pilots an educational toy aimed at encouraging children to talk about guns.,BBC News
